Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DemoQA Form,Chrome 134.0.6998.37,,,13-03-2025 11:16:26,13-03-2025 11:16:43,17.086s,PASSED
,,,,,,,
Test Cases/DemoQA Form,Chrome 134.0.6998.37,,,13-03-2025 11:16:26,13-03-2025 11:16:43,16.821s,PASSED
"openBrowser("""")",Chrome 134.0.6998.37,,,13-03-2025 11:16:26,13-03-2025 11:16:29,2.372s,PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 134.0.6998.37,,,13-03-2025 11:16:29,13-03-2025 11:16:33,4.470s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Elements""))",Chrome 134.0.6998.37,,,13-03-2025 11:16:33,13-03-2025 11:16:34,0.988s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Text Box""))",Chrome 134.0.6998.37,,,13-03-2025 11:16:34,13-03-2025 11:16:36,1.545s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Full Name_userName""), ""Yusuf Rangkuti"")",Chrome 134.0.6998.37,,,13-03-2025 11:16:36,13-03-2025 11:16:41,5.202s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), ""rangkuti289@gmail.com"")",Chrome 134.0.6998.37,,,13-03-2025 11:16:41,13-03-2025 11:16:41,0.578s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Current Address_currentAddress""), ""VILLA PADURENAN INDAH 3 "")",Chrome 134.0.6998.37,,,13-03-2025 11:16:41,13-03-2025 11:16:42,0.575s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Permanent Address_permanentAddress""), ""VILLA PADURENAN INDAH 3 "")",Chrome 134.0.6998.37,,,13-03-2025 11:16:42,13-03-2025 11:16:42,0.576s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 134.0.6998.37,,,13-03-2025 11:16:42,13-03-2025 11:16:43,0.296s,PASSED
