Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DEMO QA FORM_LOGIN,Chrome 134.0.6998.37,,,13-03-2025 11:34:48,13-03-2025 11:35:34,46.445s,PASSED
,,,,,,,
Test Cases/Web Demo QA Login,Chrome 134.0.6998.37,,,13-03-2025 11:34:48,13-03-2025 11:35:23,34.619s,PASSED
"openBrowser("""")",Chrome 134.0.6998.37,,,13-03-2025 11:34:48,13-03-2025 11:34:50,2.104s,PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 134.0.6998.37,,,13-03-2025 11:34:50,13-03-2025 11:34:54,3.981s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/svg""))",Chrome 134.0.6998.37,,,13-03-2025 11:34:54,13-03-2025 11:34:55,0.958s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Forms""))",Chrome 134.0.6998.37,,,13-03-2025 11:34:55,13-03-2025 11:35:05,9.140s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Forms""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:05,13-03-2025 11:35:05,0.516s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Practice Form""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:05,13-03-2025 11:35:06,0.523s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Name_firstName""), ""Yusuf"")",Chrome 134.0.6998.37,,,13-03-2025 11:35:06,13-03-2025 11:35:06,0.810s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Name_lastName""), ""Rangkuti"")",Chrome 134.0.6998.37,,,13-03-2025 11:35:06,13-03-2025 11:35:07,0.572s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), ""claysystemhack@gmail.com"")",Chrome 134.0.6998.37,,,13-03-2025 11:35:07,13-03-2025 11:35:08,0.580s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/label_Male""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:08,13-03-2025 11:35:08,0.319s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_(10 Digits)_userNumber""), ""0896784788"")",Chrome 134.0.6998.37,,,13-03-2025 11:35:08,13-03-2025 11:35:08,0.559s,PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Date of Birth_dateOfBirthInput""), ""13 Mar 2025"")",Chrome 134.0.6998.37,,,13-03-2025 11:35:08,13-03-2025 11:35:09,0.853s,PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/input_Date of Birth_dateOfBirthInput""))",Chrome 134.0.6998.37,,,13-03-2025 11:35:09,13-03-2025 11:35:10,0.523s,PASSED
